essay,error,message,category,frase,comp1,url
165,PARONYM_NUMERO_604,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Uma grande maioria dessas pessoas que são escravas não tem sequer escolaridade esse é um fator que gera uma consequencia devido a alta dificuldade em entrar no mercado de trabalho sem o minimo de estudo há também pessoas que migram de outros paises ilegalmente e vão para as zonas rurais brasileiras aonde fica concentrado os ""escravos mordenos""Na Amazônia em anos e anos resgatam um numero consideralmente de escravos em pessimas condições de higiene é a maioria de 15 a 40 anos",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-escravidao-moderna.htm
166,PARONYM_INICIO_169,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," No Brasil teve seu inicio no século XVI, com a produção do açúcar no nordeste brasileiro",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/aquele-velho-crime.htm
173,PARONYM_VARIA_340,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Embora a lei Áurea tenha sido assinada em 1888, ainda hoje é facilmente verificada a existência de escravos, não só negros, mas sim de varias cores e etnias",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/escravidao-moderna.htm
173,PARONYM_FABRICA_434,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Em pleno século XXI, os métodos escravagistas são inúmeros, empresas multinacionais exploram adultos e crianças em fabricas de sapatos na África, onde enfrentam cargas horarias longas e recebem “migalhas” , que não são o suficiente para sequer sobreviver",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/escravidao-moderna.htm
184,PARONYM_AUXILIO_37,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,Uma maneira paliativa é trazer esse assunto nas escolas juntamente com o auxilio dos Órgãos Governamentais trazendo informações aos jovens que serão os adultos do amanha ,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/estupro-uma-mancha-na-alma-feminina.htm
200,PARONYM_SUBSTANCIA_322,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,Algumas pessoas fizeram o uso disseram ter notado uma melhora significativa assim a substancia poderia ser utilizada para garantir uma maior qualidade de vida,0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/as-descobertas-atraves-das-pesquisas.htm
213,PARONYM_EFICACIA_98,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"A pressão dos pacientes vitimas do câncer deliberou a questão da eficacia da fosfoetanolamina, mais conhecida como ""a pilula do câncer"", que promete a cura da doença",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/ciencia-em-primeiro-lugar.htm
213,PARONYM_COMERCIO_62,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," A presidente da Republica deve imediatamente retirar as pilula do comercio , e junto com uma equipe farmacêutica começar a realizar todos os testes necessários para a confirmação do remédio",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/ciencia-em-primeiro-lugar.htm
213,PARONYM_PUBLICA_535,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"  Como disse Martim Luther King ""Toda hora é hora para fazer o que é certo"" o Ministério da Saúde deve realizar pequena palestras em postos de saúde direcionada ao publico alvo com doutores, cientistas e farmacêuticos alertando os riscos que o remédio pode causa tanto físico quanto mental",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/ciencia-em-primeiro-lugar.htm
217,PARONYM_PRINCIPIO_259,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS, O principio é válido para ambos: melhorar a vida das pessoas,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/esperanca-renovada.htm
233,PARONYM_MEDIA_201,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada. Se se refério aos meios de comunicação como estrageirismo, coloque entre aspas ou italize.",CONFUSED_WORDS," Conta publica negativa e dividas , e ainda assim sem ao menos saber quando irá quitar os rombos do estado brasileiro, os produtos estão 200% acima da media de preço",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/circo-brasileiro.htm
254,CONFUSÃO_MAS_MAIS,Possível confusão de termos.,CONFUSED_WORDS," Quando decidimos algo mas simples exemplo vou torcer para x teme e outro diz que time y é melhor, já existe um certo conflito de qual time é melhor e vemos hoje no Brasil que partidas chamados de clássicos do futebol levam até brigas porque o ser humano não aceita perder",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/escolhas-e-suas-consequencias.htm
264,PARONYM_INTELIGENCIA_175,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"É de nosso conhecimento que a tecnologia vem avançando cada vez mais, e que a inteligencia artificial vem se tornando uma realidade, além das maquinas que já substituem o homem em diversas atividades variadas",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/avanco-tecnologico-ou-crise-mundial.htm
267,PARONYM_BENEFICIO_43,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Hoje em dia é raro ver alguém que não possua ou nunca tenha visto um aparelho celular, um computador, tablets, televisores de ultima geração entre outro eletrônicos, que por sua vez são de grande beneficio humano ",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-tecnologia-a-seu-favor.htm
267,PARONYM_CONTRARIA_73,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Cabe ao governo gerir leis para que as tecnologias beneficiem mas não tragam transtornos a população, pois do contrario , o governo terá que supri todas as necessidades daqueles que precisam e isso ira irá levar a crises e movimentos sociais, pois o povo merece ter uma vida digna, se assim quiserem",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-tecnologia-a-seu-favor.htm
288,PARONYM_ESPECIE_430,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," E, para piorar, os governos das cidades mais afetadas pelas doenças transmitidas pelo então mosquito fazem com que eles fiquem mais fortes, ficando ainda mais difícil de acabar com a especie ",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/um-pequeno-grande-problema.htm
330,PARONYM_POLICIA_243,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,O governo do Estado de São Paulo nunca tomou fortes medidas para acabar com essas mortes violentas por parte de seus agentes de segurança da Policia Militar,1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/as-chacinas-em-sao-paulo.htm
331,AI_AÍ,Substitua por “aí”.,CONFUSED_WORDS," Mas, o que fazem os holofotes se voltarem para ele é o seu posicionamento em defesa dos policiais ""os bandidos não estão ai para brincadeira"" o que realmente e verdade,  ""não se enfrenta um cara que esta de fuzil, com uma flor"" ",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/quem-e-o-vilao-da-vez.htm
331,ACCENTUATED_PARONYMS_ESTA,"Se se refere ao verbo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Mas, o que fazem os holofotes se voltarem para ele é o seu posicionamento em defesa dos policiais ""os bandidos não estão ai para brincadeira"" o que realmente e verdade,  ""não se enfrenta um cara que esta de fuzil, com uma flor"" ",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/quem-e-o-vilao-da-vez.htm
375,PARONYM_ARVORE_0b,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"O ensino militar, por exemplo, mostra que a junção desses elementos (citado  no primeira paragrafo ) resulta nas boas notas em avaliações externas que são submetidos",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/disciplina-para-vida-toda.htm
386,PARONYM_SERIE_561,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Não se pode esquecer, do exagero no qual as famosas se submetem, rostos são deformados, aplicações de produtos por todo o corpo, como no caso da modelo Andressa Urach que fez a aplicação de uma substancia chama hidrogel nas coxas e após 5 anos causou uma serie de problemas, antes o que era para dar volumes em suas pernas, causou manchas e dores, ela teve que passar por várias cirurgias para a retirada do produto e seu estado de saúde ficou delicado, após muitos tratamentos a modelo se recuperou",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/relacao-beleza-e-saude.htm
441,MESTRE_MESTRA,Possível confusão de termos.,CONFUSED_WORDS," O veiculo de comunicação, é a mola mestre para influenciar a sociedade",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/familia-versos-versus-homossexualismo.jhtm
449,PARONYM_HISTORIA_156,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"De acordo com Karl Marx ""A historia da sociedade até aos nossos dias atuais é a história da luta de classes""",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/luta-pela-familia.jhtm
459,CONFUSÃO_DÊS_DESDE,Possível confusão de termos.,CONFUSED_WORDS,O trote é um ritual de passagem praticado dês da idade média,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/comemoracao-sim-violencia-nao.jhtm
465,PARONYM_SERIA_310,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Mas, essa num seria uma forma de impor poder aos novos estudantes? E ainda, num seria essa, uma espécie de tortura?A passagem da vida estudantil para a acadêmica é um marco na vida de qualquer estudante",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/ate-onde-deixa-de-ser-motivo-de-festa.jhtm
502,PARONYM_NEGLIGENCIA_220,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Além disso, vê-se a negligencia  das próprias autoridades, que abusam do seu poder sobre as midias para aniquilar qualquer coisa que a  ponha em perigo",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/exercendo-a-liberdade-com-responsabilidade.jhtm
522,PARONYM_ARVORE_0,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"  Muitas vezes o leitor deixa de ler clássicos da literatura pelo fato de se entediar com a forma que a linguagem se apresenta,  acaba passando mais tempo com o dicionario ao lado , do que aproveitando a história",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/a-simplificacao-da-linguagem-de-classicos-e-o-habito-brasileiro-de-le-ler.jhtm
566,PARONYM_U_ADJ_NOUN_CONFUSION,"Se pretende utilizar o verbo, não deve acentuar a palavra.",CONFUSED_WORDS,"As escolas, sejam elas públicas ou particulares, servem como fator determinante na formação social do indivíduo",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/violencia-na-escola-uma-inversao-de-valores.jhtm
577,PERCA_PERDA,Possível confusão de termos. ‘Perca’ é utilizado para se referir a um peixe ou a uma forma verbal do verbo perder.,CONFUSED_WORDS," Além, claro, do investimento em ciclovias e da motivação da população para usa-las e com isso teríamos uma população mais saudável, menos estresse e perca de tempo no trânsito e um país mais ecológico",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/bicicletas-sao-o-meio-de-transporte-do-futuro.jhtm
591,PARONYM_SERIO_311,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," E, assim, valorizemos o horário político fazendo com que ele seja levado a serio e surta o efeito que o eleitor precisa",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/democracia-pela-democracia.jhtm
598,PARONYM_RADIA_271,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Entretanto mesmo que essa seja a realidade é possível a utilização do meio de comunicação sendo essa a televisão ou o radio para uma escolha mais certeira do candidato, já que as propostas de mudança e realizações são apresentadas nos programas é de interesse do eleitor se certificar se realmente é possível que tais propostas aconteçam e qual o histórico do candidato no meio político, e isso requer uma dedicação da população",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/tempo-bem-gasto.jhtm
641,PARONYM_SECRETARIA_302,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"A legalização, não significa estar entregando elas nas mãos dos jovens, é como o secretario do Uruguai explica, é tirar arma e regularizar os pontos de vendas",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/paz-no-mundo-das-drogas.jhtm
644,PARONYM_VICIA_344,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS, Com o vicio ele vai se aprofundando em outras drogas até chegar ao crack,0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/legalizar-e-a-abertura-de-diversos-problemas.jhtm
665,PARONYM_EXPERIENCIA_126,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS," Tudo isso leva as pessoas, principalmente os jovens, a buscarem em primeira opçao , mais simples e rápida, a compra e o cunsumo por conta própria baseando-se em em experiencias de terceiros e deixando o atendimento especializado em segundo plano, tal pratica arriscada, sendo que todo e qualquer remédio tem efeitos colateráis ",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/os-sintomas-de-um-pais-despreocupado.jhtm
715,PARONYM_CIRCUNSTANCIA_54,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"A afirmação do Estado era que o Mundial de Futebol traria desenvolvimento ao país, ainda que indiretamente, porém as circunstancias dos meses antecedentes a abertura da copa vão em outra direção ",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/a-realidade-por-tras-do-sonho.jhtm
724,PARONYM_SALARIO_298,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Para impedir que esta agressão se torne exageradamente perturbadora, o órgão da polícia militar toma medidas igualmente irracionais, tentando amenizar a revolta social e (subliminarmente) proteger o interesse daqueles que garantem o salario e a possível ascensão de seus integrantes  (um minuto, estes não são os próprios manifestantes?) ",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/a-democracia-mascarada-por-interesses.jhtm
738,PARONYM_PACIFICO_505,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"  Entretanto sabemos que nem todos desempenham esse papel, de forma que é necessário que hajam burocracias e regras para limitar, e delimitar, um meio pacifico de convivência, tendo “supervisores”, nomeados policiais, com o objetivo de monitorar, e reprimir, caso essas regras estão de fato ou não sendo cumpridas",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/manifestantes-x-policiais-expressao-ou-repressao.jhtm
761,PARONYM_MEMORIA_204,"Esta palavra é um verbo. Se pretende referir-se a um nome ou adjetivo, deve utilizar a forma acentuada.",CONFUSED_WORDS,"Um pensamento mais cauteloso seria o mas correto diante disso tudo, no qual a importância da biografia é a das divulgações de obras e preservação da memoria como pedir permissão para escreve a estória que vai ser relembrada e lida com o maior gosto pelos leitores, vai ser opinada pelos biografados, na qual, o sentindo da liberdade de expressão some e vira uma autobiografia",0.0,http://educacao.uol.com.br/bancoderedacoes/redacao/amordacar-biografia-nao-autorizada.jhtm
