essay,error,message,category,frase
442,REDUNDANCY_39_OPINIÃO,Pleonasmo. Substitua por:,REDUNDANCY,O Governo deve desconsiderar opiniões individuais sobre alguns assuntos e atender aos direitos de minorias.
506,REDUNDANCY_CERTEZA_4,Pleonasmo. Substitua por:,REDUNDANCY,"Enfim, sou a favor da liberdade de expressão, mas tenho a plena certeza que deve haver uma conscientização das pessoas, aprender a respeitar os limites de cada um."
555,REDUNDANCY_8_AUMENTAR,Pleonasmo. Substitua por: ,REDUNDANCY,"Além disso, o fácil acesso à armas, assim como a formação de gangs, só contribuem para aumentar ainda mais os casos relativos ao assunto em questão."
723,REDUNDANCY_SAIR,Pleonasmo. Substitua por:,REDUNDANCY,Os manifestantes tem como objetivo mostrar que certas escolhas estão saindo fora de controle e que não estão beneficiando a população como deveria e e aí que entra em cena os manifestantes e que muitas das vezes esses são vistos como vândalos que só servem para estruir com o patrimônio e imagem do país.
992,REDUNDANCY_63_VIVER,Pleonasmo. Substitua por:,REDUNDANCY,"Contudo,  o melhor seria deixar esse celeuma de lado e se preocuparem em viver a vida bem."
1009,REDUNDANCY_PAÍSES,Pleonasmo. Substitua por:,REDUNDANCY,A sociedade brasileira reclama por iniciativas imediatas por partes das autoridades mas em razão do descaso e da omissão fazem com que o Brasil seja um dos piores países do mundo com grande índice corrupção.
1087,REDUNDANCY_AGORA_JA,Pleonasmo. Substitua por:,REDUNDANCY,"É evidente que a união monetária de países com economias tão diferentes faz com que haja um grande desafio de manter a Zona do Euro forte o bastante para não se fragmentar, pois a crise que ameaça a União Europeia é global, e sua origem está no colapso imobiliário dos Estados Unidos, quando, para controlar a inflação, o país aumentou os impostos sobre os imóveis e os cidadãos que antes tinham crédito facilitado, agora já não podiam pagar seus empréstimos, o que provocou a quebra de bancos americanos, esse problema afetou todo sistema financeiro mundial."
1098,REDUNDANCY_43_PLANO,Pleonasmo. Substitua por:,REDUNDANCY,"Espero que, em conferências futuras, os países possam pensar em conjunto, levando em conta os próprios interesses, porém, não se esquecendo de dedicar parte de suas economias e planos para o futuro do planeta."
1111,REDUNDANCY_SEGUIR_EM_FRENTE,Pleonasmo. Substitua por:,REDUNDANCY,"Ao legalizar o aborto de anencéfalos, foi dada às mulheres a chance de optar em seguir em frente mesmo com todos os riscos ou interromper a gestação."
1246,REDUNDANCY_VOLTAR_ATRAS,Pleonasmo. Substitua por:,REDUNDANCY,"Nunca mais voltou atrás,  e hoje ajuda na recuperação de outros jovens."
1468,REDUNDANCY_32_HABITAT,Pleonasmo. Substitua por:,REDUNDANCY,"Todo esse desenvolvimento tem um preço e não é preço de mercado, mas sim de vidas, seres e plantas que desaparecem do seu habitat natural dando lugar a concreto, aço e grãos."
1612,REDUNDANCY_NAO_HAVER_MAIS,Pleonasmo. Substitua por:,REDUNDANCY,"E finalmente, quando já não há mais o que ser feito, tanto a família quanto a escola delegam suas funções de educar ao poder considerado  ""maior""  , que é a polícia que acaba ficando incumbida de ""educar"" o indivíduo para viver em sociedade."
1784,REDUNDANCY_33_INDIVIDUALIDADE,Pleonasmo. Substitua por:,REDUNDANCY,"Em suma todos nós temos direitos e deveres, um cidadão tem o direito de fumarmas a partir de agora terá que fazê-lo em locais onde não seja colocada em risco a saúde pública, assim respeitando o direito individual de cada um, nesse caso o de viver ou morrer, porque o cigarro mata."
1817,REDUNDANCY_10_CERTEZA,Pleonasmo. Substitua por:,REDUNDANCY,"Embora alguns mentirosos não ajam com mal intenção, existem outros que, as vezes, tem certeza absoluta de que ninguém descobrirá a lorota que contou e acabará se dando bem."
1851,REDUNDANCY_24_ERÁRIO,Pleonasmo. Substitua por:,REDUNDANCY,"Mudança é evolução, crescimento, aprendizagem, mas neste caso entendo um desperdício do erário público, principalmente nesta fase de transição que o mundo vem enfrentando com a crise econômica."
1936,REDUNDANCY_27_EXPRESSAMENTE,Pleonasmo. Substitua por:,REDUNDANCY,"É expressamente proibido o fumo em locais fechados públicos, isso já é uma lei que infelizmente poucos seguem."
1973,REDUNDANCY_24_MANTER,Pleonasmo. Substitua por: ,REDUNDANCY,"A lei deveria ser reconhecida não acentuada com ricos ou pobre, a mesma lei deveria ser aplicada com todos para que houvesse um momento de sigilo, e todas as classes sociais percebessem que é um mal, e que todos devem participar e manter a mesma lei do país ou estado."
1999,POTENTIAL_WORDINESS,"Se não se refere a pessoas, considere substituir por “menor”.",REDUNDANCY,"E como o avanço da tecnologia faz o mundo mais pequeno, nos tornando mais atualizados e modernizando as vidas de todos cada vez com mais freqüência, as gerações irão ficar mais próximas futuramente."
