essay,error,message,category,frase
119,SIMPLIFICAR_POIS_REMOVER,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Conclui-se, portanto, que os pais devem sempre educar bem seus filhos e dar não muito mais que o necessário, pois eles podem entrar na Geração Eu e se tornarem dependentes"
125,QUE_HÁ_QUE_NÃO_HÁ,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Se compararmos em termos intelectuais a população mundial atual, com a de pessoas da idade média , veremos que há uma grande diferença de conhecimento"
168,QUE_VERB_GERUND,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS," Mesmo com a evolução humana, com o desenvolvimento de novas ciências que atuam em prol do bem coletivo, o homem não se livrou do trabalho escravo, um sério problema que consiste em trabalhar contra a vontade própria perante condições desumanas e sem direitos"
193,POR_ISSO_AÍ_ASSIM_DAÍ_ISSO,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Por isso, ensinar as crianças que qualquer tipo de violência contra a mulher é crime, é um grande passo para diminuir, se não acabar de vez com a intolerância, desrespeito e machismo"
216,EM_LONGO_PRAZO,Esta expressão utiliza a preposição “a”.,REDACTION_TIPS,"O que se deve ter em mente e que a disponibilização do produto sem o estudo devido sobre ele pode ser muito perigoso em longo prazo, pois ninguém pode medir os prejuízos causados pelo medicamento"
252,DOS_HUMANOS_HUMANO,Esta perífrase poderá ser simplificada.,REDACTION_TIPS," Em larga escala, no caso dos humanos, isso seria uma forma de demonstrar como a intolerância e o ódio são implantados sem espaço para novos pensamentos ou perguntas, apenas restando pensamentos antigos e conformistas"
256,PERDER_A_VIDA,Melhore a redação.,REDACTION_TIPS," Hoje observamos que a liberdade expressão e escolha têm gerado muita polêmica no meio da sociedade, e a mídia por muitas das vezes tem ajudado a combater este tipo de preconceito, assim incentivando a população a aceitação e a sua liberdade de escolha, como religiosa, política, sexual entre outro,A intolerância de qualquer espécie pode gerar discriminação e humilhação e assim até a morte, muito em nosso pais tem perdido a vida por causa da descriminação que é gerada pela intolerância, na escola, no meio familiar no trabalho e principalmente na rua"
263,À_VERBO_DE,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS, Isso se deve tanto à falta de qualificação profissional adequada das pessoas sobretudo também na gigantesca evolução da tecnologia que sempre se renova
271,CORRER_RISCO_ARRISCAR,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Portanto, para que muitos não percam seus empregos é necessário incentivar as pessoas que ampliem seus estudos em áreas que não correm o risco de serem afetadas, também seria interessante criar-se cursos para capacitação dos trabalhadores para a manutenção dos robôs, diminuindo assim o impacto que será causado se isso vier a ocorrer"
331,SIMPLIFICAR_VERBO_TER_MAIS_PARTICIPIO_PASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"É fácil passar nos jornais que um delinquente morreu, pela arma de um policial, o difícil é mostrar quantas famílias esse mesmo já tinha acabado, é quantas vidas tirou"
354,QUE_ADJ_NC_VERBO,Esta perífrase pode ser melhorada.,REDACTION_TIPS," Diante desses fatos é preciso perguntar: o sucesso nos estudos depende mais do esforço individual ou de escolas eficientes para produzir os resultados que se esperam?Segundos dados da ANA (Avaliação Nacional de Alfabetização), muitos estudantes do ensino publico tem tirado péssimas notas em leitura, matemática e escrita"
364,QUE_VERBO_A_VERBOINFINITIVO,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Ainda assim, há aqueles que divergem sobre a implantação dessas instituições em virtude do autoritarismo militar, o qual pode inibir a formação de valores individuais e coletivos como, a criatividade, as relações interpessoais e ,ainda, desenvolver jovens lacônicos acríticos"
437,E_QUE_QUE,Poderá omitir a conjunção ‘e’ para simplificar a parafrase.,REDACTION_TIPS,"Nossos pais e avós, pessoas mais experientes viveram em uma época a onde o conceito de família era bem diferente do que o de hoje em dia, por isso não caracterizo como preconceito, mas como conhecimentos e vivências diferentes então, há quem aceite por ter a mente mais aberta e os que preferem a família tradicional, porque esse assunto não era tão debatido no seu tempo não conheceram outras formas de família, claro! tem as pessoas preconceituosas não as descarto, as que não aceitam e são mais agressivas e fechadas sobre esse modo familiar e que tem a opinião formada sobre o assunto, mas ai  é uma questão que abrange todas as idades"
460,QUE_TER_COMO_POR_NOME_ADJ,"Com o pronome ‘cujo’, o seu texto poderia ficar mais claro e elegante.",REDACTION_TIPS,"O trote universitário, para os muitos adeptos à esse ato deplorável, é uma espécie de ritual ou tradição, que tem como intuito marcar a passagem da vida estudantil para a vida universitária"
507,VERBO_ESTAR_A_VERBO_INF,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"A liberdade de expressão é algo que vem sendo conquistado a várias gerações, poder  dizer o que se pensa sem se preocupar com o que vão pensar, ou com o que isso me trará como consequência, é algo perigoso pois caba por ser vítima das opiniões alheias, e de julgamentos de quem está a observar seus atos, isso ocorre todos os dias, milhares de vezes nas redes sociais e em meios de comunicação, já virou rotina e costume dizer no que está pensando e qual a opinião sobre determinados assuntos, porém a questão é o modo de dizer e o assunto a ser discutido, pois nem todos estão dispostos a compartilhar, aceitar e seguir seus ideais"
523,CERTO_EXATO,"Se for um texto académico/científico, pondere empregar o termo ‘exato’.",REDACTION_TIPS,"Portanto, a escola é o lugar certo para aproximar a juventude da cultura, do aprendizado e de desafios que enriquecem o conhecimento"
559,QUE_EM_NC_SER_VERBO_NUM,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS," Outra prática que está sendo disseminada com mais rapidez é o cyberbullying , que consiste nos mesmo princípios do bullying convencional só que na realidade é cometido nas redes sociais onde o estrago emocional é mais violento"
648,PORQUE_VERBOEUELE_AS_OS_POR_AO_VERBOINF_AS_OS,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Comumente se vê pessoas praticando a automedicação, muitas vezes porque viu a propagando do medicamento na televisão, outras vezes por conselho de um conhecido"
794,VISTO_POR,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Visto ser essa situação injusta, algumas manifestações no Brasil defenderam a causa"
1128,INIMIGO_ADVERSÁRIO_ALIADO_OPONENTE,Esta perífrase poderá ser simplificada.,REDACTION_TIPS," Hoje, mesmo com a grande variedade de golpes que um atleta pode usar, o MMA trata-se de um esporte violento onde o principal objetivo não é a morte do adversário como acontecia entre os gladiadores ou incitar a violência para além dos octógonos, lugar das lutas, e sim disciplinar o indivíduo"
1389,MADRUGADA_MATINAL,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS," Na  geração atual, tarde é considerado como uma hora da manhã e além"
1454,SIMPLIFICAR_QUE_VERBO_PARTICÍPIO_PASSADO,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"O Brasil, por exemplo, possui usinas de energia eólica, que ainda requerem investimentos, mas são uma maneira de reduzir os poluentes que aumentam o buraco na camada de ozônio, que como sabemos tem causado o aquecimento global"
1868,NÃO_VÁLIDA_INVÁLIDA,Melhore a redação podendo usar a negação em alguns casos.,REDACTION_TIPS,"É bem verdade que o mesmo só chegará ao fim ao passo que cada ser perceba que não é válido, é um ato sem fundamentos e sem justificatificativas"
