essay,error,message,category,frase
172,ESTAR_DE_ACORDO,Substitua por,MISC," O bom seria que tudo estivesse de acordo com a lei, e que nada disso tivesse existido, o certo seria denunciar os casos e reverter essa situação"
202,DEPOIS_DE_APÓS,Substitua por “após”.,MISC,"Depois de vários pedidos pela liberação da pílula, a presidenta cedeu, criando uma lei que consta a aprovação do remédio, mesmo sem o concedimento de médicos e cientistas"
203,CONTRA_CAPA,Substitua por “contrapartida”.,MISC,  Em contra partida autoridades de âmbito científico desaprovam o uso da substância enfatizando a complexidade deste assunto
240,A_TERRA_FIRME_BR,Substitua «a» por “à” se estiver usando a palavra terra no sentido chão firme.,MISC,"  Nicolau Copérnico, grande físico da idade media por mais que sofresse com as torturas da Santa Inquisição, não deixaria de acreditar que a terra era redonda, ou que era filho de Deus"
256,DECRETO_DE_LEI,Substitua por “decretos-lei”.,MISC,"Hoje existem projetos e decretos de lei contra a descriminação assim dando mais segurança a população que sofre algum tipo de intolerância seja ela qual for, Para que isso mude devemos fazer a nossa própria parte assim dando ao fim a intolerância e incentivar as pessoas ao fim deste preconceito, e mostrando a igualdade a todos"
335,DEVE_DE,Substitua por “devemos”.,MISC,"mãe alguma não tem a culpa de ter um filho assim, e raramente são poucas que aceita que o fale desse jeito, certamente não devemos de jeito algum jurar a morte do próximo, um dos erros que vimos muito é a maldade que a polícia vem trazendo é isso ninguém pensa no quanto não devemos confiar em policia por nos ajudar diante de uns bandidos por ai, os próprios bandidos são os policias e isso a população alguma se comove com a verdade"
368,DE_UM_MODO_GERAL,Substitua por: ,MISC,"Com a educação de um modo geral longe do ideal nos dias atuais, algumas instituições são exceções de um ensino básico ruim, como, algumas escolas da prefeitura, a maioria das particulares e o ensino diferenciado das militares"
473,ALERTAS_BR,"Alerta é invariável para indicar número ou gênero com exceção de quando está acompanhado de um artigo (Ex: os).
				Substitua «alertas» por “alerta”.",MISC," Atualmente essa realidade não se firma apenas no Nordeste, diversas outras regiões, como a Sudeste, já convive com a prolongada falta de água, algo que é resultado de muita irresponsabilidade na gestão hídrica por meio do estado e também do desperdício constante da população, que possuía um idealismo de infinitude sobre a água, um ideal que fora desmistificado há muitos anos atrás, quando diversos alertas foram feitos sobre a finitude e o desperdício da água e suas consequências"
486,DAQUI_BR,O advérbio daqui é usado para indicar lugar ou tempo e pede a preposição a. Substitua «daqui» por “daqui a”.,MISC,"Estamos vivendo uma situação que exige de nós extremos cuidados com os recursos hídricos, aquilo que temíamos para daqui vinte anos, está acontecendo agora, é necessário que busquemos soluções estratégicas para esse problema"
492,TORNAR_MAIS_DIFICIL,Substitua por dificultando.,MISC,"  que acaba tornando difícil o modo de como se expressar, por exemplo me expressar sobre um religião é válido, desde que não ofenda os seguidores da mesma "
521,AS_PONTUAL_BR,Substitua «as» por “às” se estiver fazendo indicação pontual de hora.,MISC,Entre as duas consequências à segunda é a que terá o maior numera de prejudicados
579,FAZER_USO_DE-USAR-RECORRER,Substitua por:,MISC," Atrelada a essa falta de maior investimento do governo está  a população, que faz uso das avenidas diariamente e que não respeita os ciclistas, o que gera acidentes que poderiam ser evitados"
617,HAVER,O verbo haver é impessoal no sentido de existir.,MISC,"O Brasil sofre com a corrupção e a pouco tempo viveu uma onda de protestos onde o tal foi dividido entre pacíficos e também em violentos onde houveram depredações, brigas, confrontamento com a policia etc"
706,DE_N_EM_N-A_CADA_N,Substitua por “a cada quatro”.,MISC,A copa e um evento esportivo que ocorre de quatro em quatro anos em países diferentes escolhidos pela FIFA através de sorteio e esse ano o grande escolhido foi o Brasil
795,CAIU_EM_BR,O verbo cair no sentido aumentar e diminuir não admite a preposição em. Substitua «caiu em» por “caiu”.,MISC, Essa notícia mau formulada caiu em mãos erradas
848,TEM_TÊM,Substitua por “têm”.,MISC,"  Até então isso seria bom ou ruim?Quando falamos de estudantes fica até mais difícil, porque eles cobram esse direito e alguns tem motivos para isso com certeza"
935,TORNAR_MAIS_FACIL,Substitua por “facilitar”,MISC,"O ideal é focar a carreira ou estudo naquilo em que a pessoa já tem certa habilidade, ou então em uma área que lhe traga prazer (mas também tenha certa rentabilidade, é claro), pois assim é possível manter uma boa qualidade de vida, ser feliz e tornar mais fácil a ascensão na carreira profissional"
959,QUER_SE_BR,Substitua «quer se» por “quer”.,MISC," Isto é um fator de grande importância,  para quem quer se livrar de ser um consumista desequilibrado"
973,HONRAR_COMPROMISSOS,É mais correto usar: “honrar”.,MISC," É claro que temos que trabalhar e cumprir nossos compromissos, mais sem deixar que isso nos impessa  de realizar sonhos, vontades de amar, rir, e viver "
1088,ASSISTIU_O_BR,O verbo assistir no sentido de ver exige a preposição a. Substitua «assistiu o» por “assistiu ao”.,MISC,"Desde a Eco-92, o mundo assistiu o transcorrer de vinte longos anos e com eles surgiram, melhor dizendo, reapareceram questões sobre o Meio Ambiente que por décadas não foram solucionadas e que dizem respeito ao equilíbrio e à qualidade da vida na Terra, à utilização de recursos naturais não renováveis de que dispomos, os quais há séculos estão sendo utilizados de acordo com os interesses capitalistas e que poluem o Meio Ambiente e aceleram o aquecimento global"
1303,DE_CERTO,‘De certo’ equivale a ‘de determinado’. Se pretende indicar certeza utilize “decerto”.,MISC,"Enfim, concluí-se que de certo,  investir em um evento deste porte, com todos os problemas econômicos e sociais do Brasil, é algo arriscado, onde ao ter uma simples falha todo o trabalho poderia ser visto de uma forma negativa não só pelo mundo, mas pelos próprios brasileiros, que buscam, além de uma conquista esportiva, uma realização pessoal"
1348,CHEGAR_AO_FIM_FINDAR_TERMINAR,Substitua por:,MISC,"O governo norte-americano informou, recentemente, que chegou ao fim a caçada ao mais procurado criminoso dos últimos tempos: Osama Bin Laden"
1348,PÔR_FIM_À_VIDA,Melhore a redação.,MISC, Os aspectos que envolveram a operação militar que pôs fim à vida do líder da facção terrorista islâmica Al-Qaeda suscitaram uma questão que fez a sociedade mundial pensar qual o limite entre a justiça e a vingança
1699,LHE_S_ME_TE_VOS_VERB,Substitua por “Parece-me”.,MISC,"Me parece bizarro e até vergonhoso ver que, em um país onde a justiça não consegue prender nem os pedófilos espalhados por ele , perca tempo agora condenando as pessoas por darem ""selinhos"" em seus filhos ou filhas , pelo simples fato de algumas pessoas acharem que existe apelo sexual neste tipo de comportamento"
1724,AULAS-ENSINO_A_DISTÂNCIA,Substitua por “à”.,MISC,"O ensino a distância tem, ou pelo menos deveria ter, objetivos positivos"
1744,CONCERTEZA_BR,Substitua «concerteza» por “com certeza”.,MISC,"Como disse Benjamim Franklin: ""Paz e harmonia, eis a verdadeira riqueza de uma família"", ou seja, se dentro do lar não existe aquilo de respeito , concerteza o jovem irá levar tudo o que aprendeu lá dentro para outros ambientes"
1813,ALUGAR_CASA,"Se não pretende realçar o tipo de imóvel, considere “arrendam”.",MISC," Existem historias de pessoas que alugam casas enormes, de luxo, convidam amigos e familiares, dizendo que aquela casa é da passoa"
1878,JÁ_MAIS,"Pretende dizer “jamais”? Caso contrário, é uma redundância.",MISC,"Por mais que tente ocultar o racismo racial, dizando que estah acabando ;já mais irá apagar este mau enquanto existir na alta sociedade pessoas com pessamentos retógrado"
1983,COMCERTEZA_BR,Substitua «comcerteza» por “com certeza”.,MISC, O uso continuado do álcool comcerteza também produz efeitos nocivos no organismo de qualquer um
2009,ESQUECER_VERB,Insira a preposição ‘de’ após o verbo.,MISC,"É importante destacar que a realidade é a junção destes dois pontos de vista diferentes, na favela há sim bandidagem, marginais, trafico, pois é um lugar onde há muita discriminação por ser onde se concentra a massa pobre e miserável sem um bom estudo e pouca cultura, um povo esquecido porem existente"
2095,ADJ_DE_VERB,Possível preposição desnecessária após adjetivo.,MISC,"Incentivos educacionais, culturais e algo que direcione a vida das pessoas como uma religião seria uma forma bem interessante de começar a mudar estes quadros, mas a falta de educação e a falta de uma ética e moral verdadeira diminuem qualquer chance de melhora em nosso país"
